Site,Category,Homepage,Submit/Edit URL,Login,Reciprocal Badge,Paid,Recommendation,Notes
Indie Hackers,Community,https://www.indiehackers.com,https://www.indiehackers.com/products,Yes,No,No,Do (login),"Create a product page (logo, tagline, website); a first post adds a second link. Confirmed working (verified 2026-09) - product created at indiehackers.com/product/<slug>. Note: an in-page click on 'Submit Product' can silently no-op on first click (a focus/hover state) - click again and verify the tagline field actually holds text before submitting."
StackShare,Dev stack directory,https://stackshare.io,https://stackshare.io,Yes,No,No,Skip: dead + low fit,/create-stack now 404s; also low fit for non-developer products. Skip (verified 2026-08).
Bark,Services marketplace,https://bark.com,https://www.bark.com/en/gb/for-professionals,Yes,No,No,Skip: fit,Lead-gen for service pros; weak fit for a software product.
StartupBase,Startup directory,https://startupbase.io,https://startupbase.io/submit,Yes,No,No,Skip: engagement wall,Free launch needs a site badge AND an engagement wall (upvote launches + write reviews of OTHER products); a USD39 option skips the queue. Full listing builds via AI autofill but confirmation is gated (verified 2026-08).
Launching Next,Startup directory,https://launchingnext.com,https://www.launchingnext.com/submit/,No,No,No,Conditional: bot-check may hang,"No login. Full form (name/URL/headline/tags/description/marketing-spend/name/email/'what is 2+3?') fills fine, but the POST-SUBMIT verification screen ('Please wait while your request is being verified...') hung indefinitely in an automated browser and never resolved - likely a bot-detection wall keyed on automation signals. A human completing the same form may pass fine. Flagged, not confirmed broken (verified 2026-09)."
StartupBlink,Startup ecosystem map,https://startupblink.com,https://www.startupblink.com/startups,Yes,No,No,Blocked: login wall (then email-domain gate),"CHANGED 2026-09: 'Add your startup' no longer opens the add-startup modal for logged-out visitors - it shows a hard 'Please login or create a free account' dialog with Login/Register buttons and nothing else. Once signed in, the previously recorded gate still applies: submit returns HTTP 400 'Website domain must match your email domain', so the account email must be on the product's own domain. Worth doing once by hand if the founder has a matching-domain address (verified 2026-09)."
DealMyApp,Indie app directory,https://dealmyapp.com,https://dealmyapp.com/list,Yes,No,No,Do (login),"Showcase listing + images; ~2MB/image limit (compress). Turn off 'open to offers' if not selling (it defaults ON and can reset to ON after a validation error, so recheck before final submit). Pick 'Showcase' not 'Sell'. GOTCHA: the image validator checks actual file signature, not extension - a WebP file renamed to .png is rejected with 'Images must be JPG or PNG'; verify real file type (e.g. \`file\` command) before uploading. Confirmed working end-to-end - "<Name> was submitted" (verified 2026-09). Optional free ranking-boost via reciprocal badge offered post-submit - not required for the base listing."
Startup Map Africa,Regional startup directory,https://startupmapafrica.com,https://startupmapafrica.com/submit,Yes,No,No,Refresh (regional),Regional; existing profiles common; edit route may 404 - email the site if so.
BetaList,Launch platform,https://betalist.com,https://betalist.com/submit,Yes,No,Yes,Skip: paid,"Auto-drafts a full listing from your URL (icon+screenshot+topics), but the PUBLISH step is now paid-only (Lite GBP39 / Standard GBP99 / Premium GBP299). No free publish path (verified 2026-08)."
G2,Software review,https://g2.com,https://www.g2.com/products/new,Yes,No,No,Blocked,High value but needs a verified business email or LinkedIn. Revisit with a work email.
TrustRadius,Software review,https://trustradius.com,https://www.trustradius.com,Yes,No,Yes,Skip: paid,Enterprise/paid vendor service.
SaaSworthy,SaaS directory,https://saasworthy.com,https://www.saasworthy.com,Unknown,No,No,Skip: dead,Submit page 404 - recheck later.
Futurepedia,AI directory,https://futurepedia.io,https://www.futurepedia.io/submit-tool,Yes,No,Yes,Skip: paid,Paid only (~$247+).
There's An AI For That,AI directory,https://theresanaiforthat.com,https://theresanaiforthat.com/launch/,Yes,No,Yes,Skip: paid + OAuth gate,"RECHECKED 2026-09 because some 2026 directory atlases now list TAAFT as a free open form - it is not. /submit and /submit/ both redirect to /launch/, a paid-traffic launch pitch ('Early Launch Bonus ... up to $300 PPC bonus'), and continuing opens a Google 'Choose an account' OAuth consent screen before any form is shown. Paid model AND an account gate. Skip stands."
submitaitools.org,AI directory,https://submitaitools.org,https://submitaitools.org,Yes,Yes,No,Skip: bot-check puzzle,"REASON UPDATED 2026-09: the reciprocal footer badge is no longer the blocker for anyone who has opted into reciprocal links - but the Submit Tool flow is independently gated by an interactive 'Human Verification' puzzle (click the button matching a named colour, e.g. 'amber'), which is CAPTCHA-class and must be handed to a human. Hard skip for automation regardless of badge policy."
toolpilot.ai,AI directory,https://toolpilot.ai,https://www.toolpilot.ai/pages/submit-your-ai-tool,No,Yes,No,Conditional: reciprocal badge (backlink field on the form),"Reopened for reciprocal-link opt-ins. NO login needed - the submit page carries a long public form (Personal Details: first/last name, Company, Email, and 'Backlink URL (If you choose the Free Listing option, we require a link back to our platform)'; then AI Tool Details). GOTCHA: the form sits inside cross-origin iframes so read_page/find return no inputs - it is still fillable by coordinate clicks taken from a screenshot. The Free tier is explicitly 'Back Link Required' and asks for the URL of the page on YOUR site that links to toolpilot.ai, so the badge must exist BEFORE submitting; free listings also take up to 90 days to process and allow only 2 categories / 3 tags. Paid Priority $99 / Premium $199 - skip (verified 2026-09)."
toolify.ai,AI directory,https://toolify.ai,https://www.toolify.ai/submit,Yes,No,Yes,Skip: paid,Paid only (~$99).
aitools.fyi,AI directory,https://aitools.fyi,https://aitools.fyi/submit,Yes,No,Yes,Skip: paid,Paid only (~$30).
topai.tools,AI directory,https://topai.tools,https://topai.tools/submit,Yes,No,Yes,Skip: paid,Paid only (~$47+).
aivalley.ai,AI directory,https://aivalley.ai,https://aivalley.ai/submit,Yes,No,No,Skip: broken,Form fills but server-errors on submit; retry later.
aitoolhunt.com,AI directory,https://aitoolhunt.com,https://www.aitoolhunt.com/submit-tool,Unknown,No,No,Skip: dead,Submit page 404.
supertools.me,AI directory,https://supertools.me,https://supertools.me,Unknown,No,No,Skip: dead,Site down / unreachable.
opentools.com,API service,https://opentools.com,https://opentools.com,Unknown,No,No,Skip: n/a,Not a directory (API service).
insidr.ai,AI directory,https://insidr.ai,https://insidr.ai,Unknown,No,No,Skip: dead,Submit page missing (404).
easywithai.com,AI directory,https://easywithai.com,https://easywithai.com/submit,Unknown,No,No,Skip: dead,Submit page missing (404).
allthingsai.com,AI directory,https://allthingsai.com,https://allthingsai.com,Unknown,No,No,Skip: dead,Site timed out.
gpte.ai,AI directory,https://gpte.ai,https://gpte.ai,Unknown,No,No,Skip: avoid,Redirects to a spam/ad network - avoid.
ai-collection.info,AI directory,https://ai-collection.info,https://ai-collection.info,Unknown,No,No,Skip: dead,Site down.
aibest.io,AI directory,https://aibest.io,https://aibest.io,Unknown,No,No,Skip: dead,Redirect loop.
aitoptools.com,AI directory,https://aitoptools.com,https://aitoptools.com,Yes,No,Unknown,Skip: unclear,Requires login; free-tier status unclear.
Dang.ai,AI directory,https://dang.ai,https://dang.ai/submit,Yes,No,Yes,Skip: paid,Google/Chrome flags dang.ai as a dangerous / low-reputation link - skip for safety. Also magic-link login leads to a pricing paywall; free tier historically needs a reciprocal badge (verified 2026-08).
Tekpon,SaaS review,https://tekpon.com,https://tekpon.com/submit-your-software,Unknown,No,Unknown,Skip: dead,Submit form 404s; likely vendor-managed.
Top Business Software,Software review aggregator,https://topbusinesssoftware.com,https://topbusinesssoftware.com,Unknown,No,No,Claim,Auto-generated reviews page often already exists; look for a claim/contact option to correct copy and links.
BusinessHunt,Business directory,https://businesshunt.co,https://businesshunt.co/submit,Unknown,No,No,Claim,Auto-generated business profile may already exist; claim/verify to edit details and links.
AppBrain,Android app directory,https://www.appbrain.com,https://www.appbrain.com,No,No,No,Claim,Auto-indexes Google Play apps; only relevant if the product ships an Android app. Claim via the Play developer console link.
Slashdot,Software directory,https://slashdot.org,https://sourceforge.net/software/vendors/new,No,No,No,Via SourceForge,Slashdot Media listing is generated from the SourceForge vendor submission - do not submit separately.
Capterra India,Software review (regional),https://capterra.in,https://www.capterra.com/vendors/sign-up,Yes,No,No,Via Capterra,Regional Capterra page auto-created from the main Capterra/Digital-Markets submission.
Peerlist,Community/launch,https://peerlist.io,https://peerlist.io/launchpad,Yes,No,No,Refresh (login) - check Manage Projects first,"CHECK BEFORE CREATING: /launchpad/new 404s; the real path is the Launchpad 'Launch' button, which opens a 'Monday is a launch day' dialog and then a 'Manage Projects' modal listing every project already on the account - refresh the existing one via its overflow menu > Edit rather than adding a second. Tagline is capped at 60 chars and Project name at ~26. Editing saves with 'Project saved.' and lands on peerlist.io/<user>/project/<slug>. Launchpad slots are free and weekly (Monday); scheduling one is a public launch, so leave that decision to the person (verified 2026-09)."
MicroLaunch,Launch platform,https://microlaunch.net,https://microlaunch.net/hq/products,Yes,No,No,Do (login) - check the dashboard first,"CHECK BEFORE CREATING: microlaunch.net/hq/products lists ""Your Products"" - confirm the product is not already there. /hq/launch/new 404s. The free path is Next Steps > Select Your Product > + New Product, which opens a STANDALONE Tally form in a NEW TAB (fillable; the whole draft persists in localStorage across tab closes and browser restarts - only file inputs need re-attaching). The ""New Launch"" button instead opens a Pro Launch upsell modal with no free option visible - dismiss it. Form notes: the email MUST equal the social-login email on the account, not a company address; a REQUIRED personal ""Country you live in"" field means you have to ask the person; Type of product = Web Tool/App; the category dropdown is type-to-filter with no Design option (AI & Assistants is the usual fallback); Type of commercial offer covers Subscription/Lifetime deal/Free product/One-time payments; ""My product has a free plan or tier"" is marked required but submits fine UNCHECKED; logo must be 128x128, hero 680x340 and optional. AFTER SUBMIT: the product appears on the dashboard immediately with status Waiting, but its public page 404s until a launch is scheduled - the free route is ""Basic Launch: wait in queue for automatic scheduling"" (leave the Go Pro toggle on No). The confirmation screen pushes a $39 Pro credit; that only skips the queue, so ignore it. Submitted end-to-end for a product (verified 2026-09)."
Tiny Startups,Launch platform,https://tinystartups.com,https://www.tinystartups.com/submit,No,No,Yes,Skip: paid,"CHANGED 2026-09: the badge + 'visit 5 launches' engagement wall is gone; the model is now 'Pay What You Want' - a bid leaderboard where 'the more you pay, the higher you rank'. No login at all ('No signup needed') and the URL fetch auto-pulls your favicon and description, but the listing gate reads 'any amount, whole dollars - Minimum bid is $69 to get listed'. The footer 'Submit a Startup - Free' link just returns to the same paid form. No free path remains (verified 2026-09)."
Fazier,Launch platform,https://fazier.com,https://fazier.com/submit,Yes,Yes,No,Skip: blacklisted (engagement wall + login),"BLACKLISTED per explicit person decision (2026-09) - do not reopen even with reciprocal links opted in. The free 'Basic' plan's real requirements only surface after login: (1) an account-creation gate (Google OAuth or email) before the submit form even loads, (2) a 'Leave 3 Helpful Comments' engagement wall (0/3 required before the listing can go live) undisclosed on the pricing page, on top of (3) the reciprocal badge. The comments requirement was completed once by the person, who then judged the whole gated flow predatory and asked to blacklist the site rather than continue. Paid Lite ($29)/Premium ($49) skip the engagement wall but still cost money. Treat as a hard Skip regardless of policy on badges or logins (verified 2026-09)."
Twelve Tools,AI directory,https://twelve.tools,https://twelve.tools/submit-your-tool,No,Yes,No,Conditional: reciprocal badge (free tier),"No login needed at all despite earlier notes. 5 steps: URL > auto screenshot > auto-prefilled review > badge > live. HARD CAPS: name 24, headline 92, long description 600 (silently truncates). CORRECTED 2026-09 (verified on the sibling Wired Business, same engine): typing real keystrokes does NOT populate React state - values show on screen but submit resets the wizard to step 1. Use a value-set that dispatches input+change events instead, and prefer leaving the auto-prefill untouched so only the email needs setting. Category list has Design but no Home/Garden and no Fashion. Free tier requires the Twelve Tools badge on your homepage/footer then Verify; Pro $36 skips it and gives 2 categories."
PeerPush,Product directory,https://peerpush.com,https://peerpush.com,Yes,No,Yes,Skip: paid launch,"Product page builds fine (autofill fails on client-rendered sites; fill manually: name/tagline/desc/logo/category/pricing). BUT 'Choose Your Launch Plan' has NO free tier despite the 'Free or Paid' label - Standard Launch=USD39, 30d=USD229, 7d=USD89. Launch is paid-only. Product record exists but stays unlaunched (verified 2026-08)."
Turbo0,AI directory,https://turbo0.com,https://turbo0.com/submit,Yes,Yes,No,Conditional: reciprocal badge (free tier),"3-step form; AI-autofill is unreliable on client-rendered sites (fill manually). Hard limits: description <=256 chars, introduction >=1200 chars (write PLAIN PARAGRAPHS, not markdown bullet lists - the list auto-continues '- ' on Enter and mangles multi-item lists), a 16:9 image is required. CHANGED 2026-09: the FREE $0 plan now additionally requires verifying a reciprocal badge on your own site before the listing goes live (previously worked free with no badge, verified 2026-08) - badge HTML is provided on the payment/step-2 page (light/dark theme, links to https://turbo0.com/item/<slug>). Paid Basic/Pro tiers skip the badge but cost money. Opt-in only per no-reciprocal-link default rule (verified 2026-09)."
SaaSCity,SaaS directory,https://saascity.io,https://saascity.io/saascity,Yes,Yes,No,Do (login) + badge,"High-DR (DR58) dofollow + a spot on a 3D 'city' map. AI-drafts the listing from your URL (name/tagline/category/description/screenshot/socials). Free tier queues you for a weekly Monday slot (near weeks fill up - next free slot can be months out) and REQUIRES their badge in your homepage footer, verified via raw HTML, before the dofollow goes live. Quick Pass USD19.99 skips the badge+queue. Worth it if you accept the footer badge (verified 2026-08)."
MagicBox.tools,AI directory,https://magicbox.tools,https://magicbox.tools/submit,No,No,Yes,Skip: paid,DR68. Public no-login form (tool name/URL/email) but Continue leads to 'Choose Your Plan' - all tiers paid (Basic USD15.9 / Featured USD19.9 / Sponsored USD29.9). No free tier (verified 2026-08).
Uno Directory,SaaS/AI directory,https://uno.directory,https://uno.directory/submit,Yes,Unknown,Unknown,Blocked: login required,/submit redirects straight to a login wall (Google or email) before any form is shown. Hand to a human to sign up first (verified 2026-09).
AIChief,AI directory,https://aichief.com,https://aichief.com/submit-ai-tool/,Yes,No,Yes,Skip: paid,"Large directory (12k+ tools) but submission starts at USD99, no free tier at all (verified 2026-09)."
Postmake,Startup directory,https://postmake.io,https://postmake.io/submit,Unknown,No,Yes,Skip: paid,Standard Listing USD79 / Premium USD119 / Promoted USD199 - no free tier (verified 2026-09).
Toolkitly,AI directory,https://www.toolkitly.com,https://www.toolkitly.com/submit,Unknown,Unknown,Unknown,Skip: dead,/submit 404s to a generic 'Page Not Found'; site pushes a 'Get Featured' CTA instead. Recheck later (verified 2026-09).
EliteAI.tools,AI agent/MCP directory,https://eliteai.tools,https://eliteai.tools/submit,Unknown,Unknown,Unknown,Skip: dead + fit,/submit 404s. Also oriented around MCPs/AI-agent skills and professions rather than consumer apps - weak fit even if fixed (verified 2026-09).
OpenSaaS Directory,SaaS directory,https://opensaas.directory,https://opensaas.directory/submit,Unknown,Unknown,Unknown,Skip: dead,/submit 404s (verified 2026-09).
Launched.site,Not a directory,https://launched.site,https://launched.site/submit,Unknown,Unknown,Unknown,Skip: n/a,"Turned out to be an AI website-builder product's own marketing site, not a submission directory - drop from future candidate lists (verified 2026-09)."
Wired Business,Business/startup directory,https://wired.business,https://wired.business/submit-your-website,No,Yes,No,Conditional: reciprocal badge (free tier),"DR77 dofollow claim, 2000+ sites listed. Same 5-step engine and maker as Twelve Tools (URL > auto screenshot > auto-prefilled review > badge > live) and NO login at all. Field caps: name 28, headline 140, long description 600 (hard truncate). Category list has Design and Artificial Intelligence but no Fashion. CORRECTED 2026-09 - the earlier 'type real keystrokes' advice is WRONG for this form: typed characters render on screen but never reach React state, so 'Submit for verification' silently resets the whole wizard back to step 1 with no error. Set each field with a value-set that DISPATCHES input+change events (a form_input-style helper) and submit works first time. Fastest path: leave the auto-prefilled name/headline/description alone and only set the email. Success state is step 4: '<site> is registered and waiting to go live'. Free publish then needs the Wired Business badge (or any link to https://wired.business) on your homepage/footer plus 'Verify my badge'; Pro $29 (FROGDR code -30%) skips it. Footer links its sibling directories: Ramen Tools, 500 Tools, Twelve Tools. CONFIRMED END-TO-END 2026-09-20: once the badge was live in the product's homepage footer, the badge step verified automatically and the listing published at wired.business/<slug> marked 'Verified'. Two useful mechanics: (1) re-running the submit flow for an already-listed domain returns 'This website is already listed on Wired Business. See it here.' with a link to the live page, which is a fast way to check status without an account; (2) the step-3 review form restores the PREVIOUS product's draft from localStorage, so always use the 'Start over with a different website' link (/submit-your-website?restart=1) before submitting a second product, and expect the step-1 URL box to need a real click plus keystrokes."
AI Toolz Dir,AI directory,https://www.aitoolzdir.com,https://www.aitoolzdir.com/submit,No,Yes,No,Conditional: reciprocal badge (checked at submit),"DR63 dofollow claim. Single public form, no login and no CAPTCHA: name, URL, logo URL (a hosted square image URL, not a file upload), custom category dropdown, short description 200 max, full description 500 max, email. UNLIKE most badge directories it verifies the reciprocal link BEFORE accepting: clicking 'Get listed for free' without one returns the toast 'Backlink not found on your website.' Add a link to https://www.aitoolzdir.com to the site FIRST, then submit. FIT WARNING (2026-09): the only categories are Text/Image/Audio/Video Generation, Chat Bots, Agents and Copilots - there is no sensible slot for a consumer app (fashion, lifestyle, productivity), so this is low value outside generative-AI tooling. Paid $25 tier needs no backlink - skip. Its partner footer is a useful source of further candidates (woy.ai, tap4.ai, yo.directory). CONFIRMED END-TO-END 2026-09-20: with the plain reciprocal text link live in the product's footer, 'Get listed for free' returned 'Submitted! We'll review your tool and email you when it's live.' The form is React - clicking fields by accessibility ref silently fails, so click by coordinate and type real keystrokes; watch the live char counters (short 200, full 500) because the full description hard-truncates mid-word at 500."
The Next AI,AI directory,https://www.thenextai.com,https://www.thenextai.com/submit-ai-tool/,No,No,No,Conditional: arithmetic bot-check,"Free Basic listing is $0 forever with a claimed dofollow link and a dedicated /ai-tools/<slug>/ page - no account, no card, 48h manual review. Plain public form (ids f-name, f-url, f-cat, f-pricing, f-short 120 max, f-desc, f-logo as a URL, f-email, f-tags) built in vanilla JS, so programmatic value-sets stick. TWO traps: a hidden honeypot input id=website_confirm that must stay EMPTY, and a REQUIRED arithmetic field id=captchaInput ('Quick check: 2 + 5') which is a bot-check per policy - fill everything else and hand that one keystroke to the person. Featured tier $199 - skip (verified 2026-09)."
Ramen Tools,Not a directory,https://ramen.tools,https://ramen.tools,Yes,No,Unknown,Skip: n/a,"Linked as a partner from the twelve.tools and wired.business footers but it is not a submission directory - it sells maker dashboards, and /submit 404s. Drop from candidate lists (verified 2026-09)."
500 Tools,Curated tool directory,https://500.tools,https://500.tools/submit,Unknown,No,Yes,Skip: paid + sold out,"Fourth site in the Ramen Tools / Twelve Tools / Wired Business family (linked from their footers). Subscription only - $1 first month then $5/mo, or $19/year - and as of 2026-09 both plans read 'Sold Out' with '0 spot left' (the gimmick is a hard cap of 500 listings). No free tier and nothing to submit (verified 2026-09)."
Aitoolnet,AI directory,https://www.aitoolnet.com,https://www.aitoolnet.com/submit,No,No,Yes,Skip: paid,"Deceptive layout: below the pricing cards sits a complete public 'Submit a tool' form (Name/Website/Category/Pricing/Description/Content/Email) that fills fine and offers one of the very few genuine FASHION categories in any AI directory - but its only submit control is 'Submit Pay $9.9' with a required Payment Platform (PayPro Global) field. Pro $9.9 / Business $49.9, no free tier. Their site search is good for duplicate checks. Keep on the list if a small paid listing is ever acceptable (verified 2026-09)."
aiwith.me,AI directory,https://aiwith.me,https://aiwith.me/submit,No,No,Yes,Skip: paid,"DR68 claim. Public 2-field form (website name + URL) but the only action is 'Pay, then Submit': One-time $19.9 or Unlimited $29.9/mo. Also offers an API-key bulk submission route, still paid. No free tier (verified 2026-09)."
Tap4 AI,AI directory,https://tap4.ai,https://tap4.ai/submit,Unknown,No,Yes,Skip: paid,"Public form (AI Tool Name + Website URL + a 'Provide more' expander) but listing requires buying 10 USD / 4000 credits. No free tier (verified 2026-09)."
Woy.ai,AI directory,https://woy.ai,https://woy.ai/submit,Yes,No,No,Blocked: login wall (Google only),"Looks like the single easiest submission anywhere - /submit is just 'Website Name' and 'Website URL', no captcha and no other fields - and both accept values fine. But pressing Submit pops a modal: 'Please continue by logging in' with one 'Login with Google' button and no email option. Roughly two keystrokes of work for a signed-in human; impossible to automate (verified 2026-09)."
Acid Tools,AI directory,https://acidtools.com,https://acidtools.com/submit,Yes,No,No,Blocked: login wall (Google only),"/submit renders 'Log in to Submit - Please sign in to submit your AI tool to our directory' with a single 'Log in with Google' button plus 'Create an account'. No public form at all (verified 2026-09)."
Yo Directory,SaaS/AI directory,https://yo.directory,https://yo.directory/submit,Yes,Unknown,Unknown,Blocked: login wall (email magic link),"/submit redirects to /login?next=/pricing - 'Manage listings, submissions and billing through a secure email link'. No form before sign-in. Found via the AI Toolz Dir partner footer (verified 2026-09)."
